A_id,B_id
1004,2400
1013,585
1034,1698
1037,98
1043,365
1055,2613
1061,2898
107,634
1076,1802
1082,3020
1088,2536
1094,1997
1097,188
1100,186
1103,2415
1106,298
1109,590
1118,1361
1124,1101
113,2207
1130,1089
1136,1146
1154,1617
116,575
1166,2324
1181,1980
1196,646
1199,960
1217,255
1229,472
1235,23
1241,1984
1250,1990
1256,2468
1265,124
1277,2799
1283,1054
1289,2037
1295,568
1304,2147
1319,2410
1328,2967
1331,2803
1337,991
1352,1356
1358,1718
1361,1391
1370,1382
1376,2856
1379,339
1382,111
1394,1576
1397,2764
1400,394
1406,2795
1412,2510
1418,573
1427,717
1436,928
1439,809
1445,1440
1463,1154
1466,1940
1469,383
1481,115
1502,1858
1508,1063
1517,1941
1538,265
1556,2547
1559,91
161,570
1619,205
1622,2043
1640,1972
1643,1111
1649,1957
1658,2900
1664,867
167,398
1673,1765
1676,390
1688,1574
17,1559
1700,293
1703,494
1709,1080
1724,1896
1736,523
1739,334
1745,328
1754,563
1757,1696
176,790
1760,471
1763,1862
1769,310
1775,2243
1778,1048
1787,232
1790,2081
1796,260
1808,2427
1820,776
1829,2625
1832,2307
1835,1504
1841,2148
1844,865
185,591
1853,201
1883,214
1886,221
1889,1778
1892,2599
1928,880
1940,506
1943,1353
1946,830
1955,2673
1964,2508
1967,1817
1973,116
1988,812
1994,2739
20,2067
2012,2528
2033,292
2036,1863
2042,3036
2048,1016
2054,1348
206,1902
2069,2269
2072,129
2075,493
2084,146
2099,1852
212,2859
2123,2149
2141,174
2147,1654
215,1541
2150,546
2159,2197
2165,342
2174,778
218,1585
2183,798
2192,476
2195,786
2201,2125
2204,564
2207,2925
2213,84
2216,2853
2219,1037
2231,505
2237,1710
224,215
2240,2393
2243,971
2246,499
2249,2290
2252,878
2273,2426
2279,843
2288,1006
2291,707
23,458
230,241
2300,2961
2303,1281
2309,2171
2324,638
2327,2805
2333,87
2339,2684
2351,320
2354,693
2357,1251
2369,2884
2372,223
2393,120
2402,22
2408,2767
2417,431
2420,877
2435,2473
2459,1500
2462,1051
2468,1173
2474,2912
2477,2276
248,451
2492,2721
2498,1110
2525,2487
2534,1938
254,421
2540,1855
2543,2602
2546,1890
2558,2023
2570,1275
2573,8
2609,1141
2630,128
2636,881
2639,791
2642,2235
2645,2469
2648,37
2657,2548
2663,1505
2669,1170
2675,2296
2681,764
2684,2350
2690,633
2696,2395
2705,1306
2708,266
2711,501
2717,620
272,2356
2720,686
2729,605
2741,152
2747,2229
275,680
2756,224
2762,2177
2765,333
2774,2965
2780,1946
2783,2076
2792,661
2798,1351
2801,2629
2813,787
2828,663
2837,558
2840,2641
2843,939
2846,281
2867,2696
287,1033
2873,2582
2879,1137
2885,258
2891,1474
2894,138
2900,153
2906,367
2909,1835
2918,400
2924,429
2939,397
2942,2390
2945,2885
2954,250
2957,173
296,1151
2963,407
2966,598
2969,1671
2978,895
2984,2117
2990,2910
2999,302
3002,2403
3011,1442
3020,841
3026,2291
3041,2344
305,3014
3053,952
3065,2415
3068,2804
308,2127
3092,859
3104,531
3113,577
3119,2494
3122,1584
3143,2830
3149,732
3158,711
3170,419
3182,1568
3188,2824
3191,1490
3194,2712
320,2796
3200,552
3218,884
323,416
3239,718
3257,1643
326,906
3263,1919
3269,2731
3278,1128
3281,691
3290,833
3296,2223
3299,500
3320,216
3332,370
3347,2126
3350,514
3353,2934
3359,2878
3374,2104
3383,2744
3386,194
3395,337
3404,1786
3413,820
3431,2628
3437,204
344,1642
3446,668
3458,38
353,1342
359,816
368,321
395,2435
401,2478
404,97
407,157
413,2123
416,2815
425,1385
428,48
431,923
434,1648
449,236
455,2053
458,2446
488,150
494,2567
497,1724
50,1279
503,2049
506,1709
509,106
512,2509
521,1211
530,219
536,1116
539,2085
554,2261
563,1527
590,248
596,2879
611,1300
626,2270
635,1237
638,2105
647,1602
653,2870
668,956
695,1580
707,1680
710,576
719,182
737,2650
746,489
764,1691
77,1791
791,2499
800,1078
809,170
821,2298
83,1074
830,1560
836,178
842,1437
842,1544
845,885
854,462
857,815
860,2564
866,1634
869,77
872,676
896,2862
899,2639
905,1532
92,1714
926,2394
959,1381
974,357
983,918
986,181
992,965
995,31
998,34
0,351
1014,1821
1017,2718
1023,1524
1029,430
105,1430
1056,2266
1062,1168
1065,1311
1071,2654
108,709
1092,1093
1095,617
1101,975
111,135
1113,1371
1116,354
1122,103
1125,888
1131,2789
1134,2341
1137,527
1140,569
1143,535
1149,685
1155,826
1158,149
1161,694
1164,571
117,1102
1170,2088
1188,850
1194,414
1197,2498
1206,467
1215,1631
1218,1144
1224,141
1227,86
1245,509
1257,343
126,970
1260,2343
1266,1216
1269,1805
1272,2569
1275,1435
1278,57
1287,73
1308,2511
1311,433
1335,2876
1341,145
1344,1885
1353,434
1359,449
1365,2697
1368,1497
1374,2601
1380,847
1383,1701
1395,1832
1419,2482
1425,286
1428,2250
1434,894
144,521
1440,922
1443,2833
1446,2560
1455,71
1464,2180
1485,1784
1494,362
15,336
1509,2398
1512,525
1524,222
1533,2896
1545,1462
1551,399
1563,823
1587,761
159,909
1596,2172
1599,1271
1602,2405
1608,851
1611,692
162,1130
1641,1240
1644,127
1656,2886
1659,335
1662,897
1671,658
1674,1947
1677,2194
1677,2164
168,1343
1683,785
1701,1771
171,1209
1710,2535
1728,2009
1731,2130
174,2889
1743,55
1755,762
1758,131
1764,79
1767,156
177,1728
1776,2306
1782,1606
1785,322
18,650
180,2287
1803,26
1818,2774
1821,2504
183,2348
186,1608
1860,597
1863,886
1869,618
1878,1776
189,1303
1890,2604
1908,2521
1914,35
1950,68
1959,1536
1965,167
1968,2798
1971,244
198,1121
1980,1152
1983,566
1995,2891
2007,497
2019,864
2022,30
2025,1053
2031,2525
2034,2303
2037,1161
204,1742
2043,2596
2046,81
2055,551
2058,2692
2064,1181
2067,1246
2073,955
2094,1386
2103,2048
2121,2617
213,217
2130,2140
2133,274
2136,210
2154,2459
2157,291
216,596
2175,925
2178,678
2181,1363
2184,2647
219,595
2196,2211
2208,1472
2229,2645
2232,892
2250,2022
2256,725
2259,706
2265,328
2289,453
2301,2594
2304,2770
231,287
2313,1206
2322,2801
2325,600
2334,1344
2337,1394
2343,1692
2361,1295
2367,211
237,147
2370,2115
2373,2719
2376,554
2379,1210
2382,479
2394,938
240,2811
2421,2690
2427,2267
2451,25
246,1875
2466,2523
2475,1666
2499,998
2502,2702
2511,1572
252,628
2523,511
2526,852
2529,2792
2532,1426
2541,2881
2547,1360
255,674
2550,1256
2553,356
2556,1645
2565,2209
2571,133
2583,132
2592,1015
2598,2531
2601,2237
2604,392
2610,1005
2643,1408
2655,875
2667,1009
2670,2665
2703,642
2706,183
2712,1605
2730,727
2751,720
2754,626
2760,641
2763,44
2766,1650
2769,123
2772,1499
2781,2481
279,606
2790,1191
2796,2026
2799,666
2844,2680
285,1212
2850,1090
2853,777
2856,2153
2859,58
2871,1518
288,1389
2880,1297
2880,1400
2889,2274
2904,1961
2910,1768
2913,226
2916,1612
2919,2257
2925,2507
2928,930
2934,88
2943,1836
2946,474
2952,2408
2955,1798
2958,1149
2964,121
297,163
2988,1464
3006,424
3009,2678
3015,1207
3045,2768
3048,728
3051,1126
3054,1845
306,887
3066,589
3069,1282
3072,1235
3075,530
3081,1945
3084,1820
3108,2003
3111,866
312,899
3129,2353
3138,2097
3144,422
315,689
3150,1179
3174,1339
318,652
3186,315
3189,1122
3204,1475
3207,2793
321,1834
3210,611
3213,1163
3231,1787
3234,868
3243,999
3246,2404
3249,184
3252,233
3264,796
3267,1002
3273,76
3279,2208
3285,1003
3288,2655
33,1573
330,1075
3306,2352
3312,945
3318,2106
3321,1127
3324,949
3327,713
3345,1676
3351,2033
3357,369
3366,677
3372,904
3375,2595
3381,840
3387,348
339,1669
3390,1032
3396,2028
3411,1879
342,944
3423,612
3441,832
3444,2603
345,2800
3474,2195
351,684
357,876
36,2214
378,578
381,2264
390,1420
426,46
432,2111
438,2493
444,2503
450,2330
468,2317
480,565
483,1156
489,2060
501,2090
507,1839
510,2888
519,1164
528,1200
528,1297
528,1400
555,993
561,602
57,1534
570,2703
576,2773
588,2396
597,2368
6,513
612,1660
618,723
627,444
63,2759
633,2848
657,662
666,235
669,165
678,107
684,1600
690,550
702,758
711,1468
714,1569
723,180
726,69
732,950
735,1924
738,1713
741,783
768,463
786,488
798,483
804,2858
825,388
831,67
834,854
837,1937
84,237
861,1000
873,2717
885,324
894,308
897,349
90,656
900,101
903,1026
912,2000
933,1132
945,749
960,1993
963,1825
969,423
975,517
99,200
990,779
996,2733
10,745
100,1425
1012,346
1018,1506
103,2188
1036,2869
106,1495
1060,1930
1066,519
1069,2927
1090,2333
1093,185
1099,1837
1102,2930
1108,2618
1114,1912
112,1200
112,1297
1129,2262
1141,2399
1144,1332
1162,1920
118,1264
1180,2364
1186,40
1195,2432
1204,1872
1210,698
1213,856
1219,2231
1225,839
1237,699
1243,2230
1246,702
1252,1364
1255,2002
1261,358
1264,1895
1267,2708
127,445
1270,1738
1273,391
13,486
1321,1950
1330,967
1339,2252
1345,82
1351,817
136,1087
1363,724
1369,1104
1372,736
1381,924
1387,734
1390,2360
1393,492
1396,473
1399,898
1408,289
1411,784
1423,2042
1426,708
1432,1471
1450,393
1471,767
1477,601
148,1309
1480,405
1483,537
1519,567
154,2831
1540,1892
1543,454
1555,2046
1558,14
1564,2505
1567,1614
1570,1992
1573,2213
1585,498
1588,2004
16,0
16,3
1600,1215
1609,2829
1618,716
1621,512
1624,2386
1630,1640
1633,1167
1636,1
1639,2892
1651,1461
1657,85
1660,332
1663,1951
1666,1417
1675,581
1681,50
1687,1979
169,2855
1690,1670
1696,243
1699,803
1708,63
1714,355
172,969
1720,2763
1741,15
1747,937
175,2797
1759,2883
1765,1135
1771,810
1783,562
1789,603
1792,821
1798,2597
1801,721
1810,1310
1816,959
1828,526
1840,870
187,271
1873,1735
1876,408
1879,105
1894,957
1903,352
1912,1619
1915,669
1918,1761
1927,2182
1930,1398
1942,1729
1945,1455
1951,110
1975,1842
1978,455
1996,2228
2005,136
2017,2071
2020,896
2023,746
2026,981
2038,2297
2041,986
205,1926
208,1083
2086,2539
2089,361
2098,2676
2101,325
2104,1544
2104,1437
2110,1851
2113,2806
2119,1387
2122,264
2125,426
2131,1870
214,234
2143,1022
2149,2051
2158,987
2167,774
2170,540
2173,2693
2176,653
2182,75
220,279
2200,395
2209,2428
2212,688
2215,916
223,968
2233,465
2248,738
2260,2285
2263,99
2269,2116
2278,1498
2281,580
2284,28
2290,574
2296,797
2299,1656
2311,2001
2314,621
2320,2694
2326,976
2329,353
2332,477
2335,544
2344,1044
2347,2220
2353,679
2362,2657
2371,1352
238,304
2383,1388
2386,2590
2404,1106
2407,1567
2425,1625
2428,1411
2431,1424
2443,242
2449,1069
2452,1345
2467,45
247,1274
2479,748
2488,2668
2491,610
2494,151
2506,2107
2509,2781
2521,480
2524,2169
2527,2253
2533,20
2548,1901
2551,1162
2560,368
2572,985
2584,1700
259,883
2593,763
2602,607
2605,735
2614,765
2623,1611
2626,872
2629,1059
2647,1868
265,89
2662,1480
2677,1822
2680,1095
2692,625
2704,900
2716,664
2722,989
2731,4
2740,835
2746,16
2749,134
2767,1981
2773,240
2776,615
2779,1745
2794,737
2797,340
2803,2438
2812,2263
2824,1024
2827,468
2830,846
2839,1272
2842,2605
2845,1204
2848,2416
2851,2244
2854,1894
2860,2092
289,913
2902,1062
2911,275
2920,1933
2926,484
2929,207
2950,2294
2953,2947
2956,119
2962,2689
2965,389
2971,941
2974,800
2983,538
2998,307
3004,2099
3016,2691
3019,1368
3022,1079
3028,1996
3031,2909
3043,296
3052,853
3058,1293
3061,2385
3064,2709
3070,313
3076,2041
31,1801
310,1055
3103,278
3142,2512
3148,1029
3154,1270
3157,1262
319,819
3199,818
3202,2136
3208,373
3211,18
3214,3015
3226,1084
3229,1484
3232,277
3235,1880
3244,475
3250,187
3256,2794
3259,2901
3265,2431
3268,251
3271,303
3274,741
3277,420
3280,802
3283,2964
3286,730
3316,827
3325,974
3328,2880
3331,2143
3337,988
334,2877
3343,2295
3349,2546
3355,440
3361,1280
3367,788
3385,1465
3388,19
3400,112
3403,594
3409,1004
3415,1155
3424,2554
3427,1094
3430,1082
3439,2707
3445,227
3454,705
3457,331
3463,780
3472,379
361,425
370,2160
385,1687
388,504
397,2700
4,305
400,534
412,418
418,2222
421,1958
433,1686
436,687
442,1900
454,902
457,427
460,2894
466,203
475,1853
481,703
49,2612
496,1096
505,254
517,2363
532,1066
553,2931
559,1460
562,2729
568,2492
58,557
580,372
589,1775
592,1453
595,1244
604,752
613,2688
619,300
625,1086
628,632
658,469
661,2189
673,649
682,978
688,326
694,2518
706,2397
715,637
730,547
736,533
748,2844
754,3057
763,996
769,404
775,1538
79,1542
799,2292
805,253
817,1966
82,2791
835,92
838,2809
841,754
844,584
85,750
853,126
862,914
871,1142
874,624
880,384
886,2593
901,1088
907,543
913,2411
925,413
928,588
958,381
970,1333
976,439
985,2069
991,1393
1823,1188
185,628
1135,1410
